,country,beer,wine,spirits,both_sexes_avg,male_avg,female_avg
175,Trinidad and Tobago,57.9,3.3,37.1,56.3,70.7,26.9
176,Tunisia,72.2,23.9,3.8,29.9,44.3,15.0
177,Turkey,57.6,8.6,33.8,44.2,47.3,16.5
178,Turkmenistan,26.8,35.1,38.0,33.7,47.1,16.5
179,Tuvalu,0.6,84.7,14.1,55.7,70.4,26.4
180,Uganda,11.0,0.1,3.1,29.6,41.0,14.4
181,Ukraine,42.3,5.4,51.5,34.0,47.0,16.8
182,United Arab Emirates,10.1,7.7,81.9,27.7,34.2,12.4
183,United Kingdom of Great Britain and Northern Ireland,35.0,35.7,22.5,15.9,19.2,7.1
184,United Republic of Tanzania,12.2,0.4,1.6,32.1,40.9,14.8
185,United States of America,47.0,18.1,34.9,49.3,62.9,22.4
186,Uruguay,35.2,43.7,21.1,20.3,23.8,9.0
187,Uzbekistan,34.4,8.6,56.9,38.3,47.3,17.9
188,Vanuatu,38.5,25.4,36.1,58.8,71.8,27.1
